Objects
100
,,Global Angle (Quaternion) nb01b:nb01b,,,,,,,Global Angle (Quaternion) nb02b:nb02b,,,,,,,Global Angle (Quaternion) nb04:ID,,,,,,,Global Angle (Quaternion) nb05:ID,,,,,,,Global Angle (Quaternion) nb08:ID,,,,,,,Global Angle (Quaternion) nb10b:nb10b,,,,,,,Global Angle (Quaternion) nb15b:nb15b,,,,,,,Global Angle (Quaternion) nb17b:nb17b,,,,,,,Global Angle (Quaternion) nb19:ID,,,,,,,Global Angle (Quaternion) nb20:ID,,,,,,,
Frame,Sub Frame,RX,RY,RZ,RW,TX,TY,TZ,RX,RY,RZ,RW,TX,TY,TZ,RX,RY,RZ,RW,TX,TY,TZ,RX,RY,RZ,RW,TX,TY,TZ,RX,RY,RZ,RW,TX,TY,TZ,RX,RY,RZ,RW,TX,TY,TZ,RX,RY,RZ,RW,TX,TY,TZ,RX,RY,RZ,RW,TX,TY,TZ,RX,RY,RZ,RW,TX,TY,TZ,RX,RY,RZ,RW,TX,TY,TZ
,,,,,,mm,mm,mm,,,,,mm,mm,mm,,,,,mm,mm,mm,,,,,mm,mm,mm,,,,,mm,mm,mm,,,,,mm,mm,mm,,,,,mm,mm,mm,,,,,mm,mm,mm,,,,,mm,mm,mm,,,,,mm,mm,mm
1030,0,-0.101442,-0.387344,-0.277928,0.873173,-34.5987,-5352.56,1628.94,0.719201,-0.0685681,0.544974,0.425501,-334.819,-5712.13,1695.77,-0.348525,-0.243529,-0.273554,0.862781,719.264,-5577.63,1649.73,0.053178,-0.357857,-0.381121,0.850798,788.281,-5455.74,1612.48,,,,,,,,-0.114545,-0.361304,-0.134529,0.915555,-109.057,-5472.53,1657.36,-0.278186,-0.538315,-0.465618,0.645003,-337.234,-5921.57,1717.9,0.740576,-0.60478,0.184657,0.227353,-86.1059,-6082.33,1689.75,-0.0983826,-0.277612,-0.779158,0.553322,-426.483,-6174.87,1725.17,-0.188659,-0.345178,-0.463816,0.79381,563.076,-5800.42,1708.05
1031,0,-0.101439,-0.38681,-0.280871,0.872468,-34.6216,-5352.57,1628.7,,,,,,,,-0.349395,-0.240606,-0.272572,0.86356,719.482,-5577.58,1649.83,0.0450529,-0.346178,-0.382565,0.855438,788.75,-5455.63,1611.98,,,,,,,,-0.113394,-0.364392,-0.143484,0.913112,-109.727,-5471.86,1658.01,-0.278794,-0.536438,-0.465134,0.646652,-337.114,-5921.65,1717.8,0.739757,-0.604874,0.187216,0.227678,-86.1451,-6082.1,1689.79,-0.095573,-0.282949,-0.779711,0.550324,-426.678,-6174.71,1725.54,-0.189746,-0.34738,-0.460359,0.794603,563.089,-5800.16,1708.06
1032,0,-0.102397,-0.379446,-0.281167,0.875489,-34.3033,-5352.74,1628.52,,,,,,,,-0.347715,-0.241382,-0.272166,0.86415,719.221,-5577.57,1649.69,-0.0234525,-0.344341,-0.309662,0.885996,788.044,-5455.16,1610.76,,,,,,,,-0.113326,-0.364367,-0.152842,0.91161,-110.179,-5471.19,1658.59,-0.251228,-0.50294,-0.522922,0.640693,-335.751,-5922.23,1718.88,0.739777,-0.604004,0.187906,0.229348,-86.1321,-6082.01,1689.75,-0.096423,-0.282904,-0.779658,0.550274,-426.651,-6174.54,1725.95,-0.191218,-0.345487,-0.460028,0.795266,563.241,-5800.22,1708.12
1033,0,-0.100606,-0.380814,-0.281069,0.875134,-34.3502,-5352.87,1628.33,,,,,,,,-0.347996,-0.236475,-0.27189,0.865479,719.56,-5577.56,1649.87,-0.0411246,-0.332468,-0.29878,0.893591,789.155,-5454.5,1611.94,,,,,,,,-0.113221,-0.368473,-0.15553,0.909516,-110.622,-5471.09,1658.81,-0.247441,-0.500051,-0.521317,0.645717,-335.611,-5922.44,1718.74,0.740081,-0.603393,0.186695,0.230959,-86.0741,-6081.94,1689.75,-0.0975433,-0.280739,-0.777753,0.553869,-426.7,-6174.59,1726.35,-0.191475,-0.344871,-0.459522,0.795765,563.251,-5800.22,1708.17
1034,0,-0.0996084,-0.385578,-0.284064,0.87219,-34.6258,-5352.96,1628.64,,,,,,,,-0.348144,-0.238453,-0.270542,0.865299,719.443,-5577.53,1649.76,-0.0516398,-0.325753,-0.301072,0.894748,789.259,-5454.67,1612.17,,,,,,,,-0.112743,-0.374151,-0.161237,0.906258,-111.079,-5470.56,1659.04,-0.247929,-0.49839,-0.520777,0.647248,-335.423,-5922.48,1718.6,0.739818,-0.60561,0.177889,0.232938,-86.4971,-6081.88,1689.7,-0.10019,-0.279721,-0.77524,0.557424,-426.61,-6174.41,1726.42,-0.191405,-0.344957,-0.459153,0.795957,563.234,-5800.25,1708.12
1035,0,-0.10067,-0.399062,-0.280622,0.867102,-34.8328,-5352.76,1629.3,0.758454,-0.232508,0.568394,0.21821,-340.38,-5725.57,1699.06,-0.347865,-0.237582,-0.271144,0.865463,719.513,-5577.52,1649.77,-0.0688474,-0.341726,-0.301001,0.887627,789.013,-5454.3,1612.53,,,,,,,,-0.107961,-0.375816,-0.166329,0.90523,-111.342,-5470.12,1659.2,-0.247283,-0.496052,-0.521801,0.648465,-335.251,-5922.53,1718.44,0.739333,-0.60623,0.176637,0.233819,-86.4868,-6081.79,1689.61,-0.0994397,-0.276893,-0.775499,0.558609,-426.553,-6174.36,1726.42,-0.19105,-0.34596,-0.45894,0.79573,563.151,-5800.26,1708.1
1036,0,-0.100525,-0.401338,-0.275346,0.86776,-34.6283,-5352.7,1629.54,0.769385,-0.203228,0.564168,0.220134,-338.377,-5718.71,1699.5,-0.347529,-0.238856,-0.271756,0.865055,719.478,-5577.52,1649.75,-0.0472804,-0.382529,-0.280649,0.879018,786.767,-5453.54,1613.35,,,,,,,,-0.102738,-0.375267,-0.170093,0.905366,-111.49,-5469.73,1659.23,-0.247609,-0.493185,-0.521619,0.650671,-335.046,-5922.56,1718.25,0.738735,-0.607093,0.175561,0.23428,-86.4724,-6081.72,1689.57,-0.0977723,-0.273917,-0.776852,0.55849,-426.597,-6174.37,1726.41,-0.191614,-0.344924,-0.458755,0.796151,563.242,-5800.27,1708.17
1037,0,-0.101259,-0.399283,-0.274278,0.86896,-34.5075,-5352.61,1629.6,0.774632,-0.19045,0.561904,0.21895,-331.581,-5714.46,1696.67,-0.347099,-0.238734,-0.272402,0.865058,719.508,-5577.52,1649.78,-0.0398567,-0.399237,-0.272551,0.874492,784.949,-5454.24,1612.72,,,,,,,,-0.0991242,-0.372703,-0.175383,0.905819,-111.513,-5469.31,1659.12,-0.246258,-0.490457,-0.524366,0.651037,-334.852,-5922.6,1718.08,0.738955,-0.606188,0.178227,0.233916,-86.4918,-6081.7,1689.53,-0.0982216,-0.272993,-0.779165,0.555634,-426.508,-6174.19,1726.47,-0.191105,-0.345727,-0.459035,0.795763,563.302,-5800.47,1708.06
1038,0,-0.102397,-0.401297,-0.275556,0.867493,-34.6915,-5352.39,1629.42,0.755043,-0.141539,0.501172,0.398375,-333.126,-5715.29,1701.88,-0.346488,-0.239704,-0.272551,0.864988,719.397,-5577.53,1649.73,-0.0793915,-0.395047,-0.269877,0.874529,784.93,-5454.43,1612.29,,,,,,,,-0.096292,-0.3705,-0.176874,0.906738,-111.553,-5469.01,1659.11,-0.245905,-0.488069,-0.524189,0.653104,-334.682,-5922.61,1718.02,0.740214,-0.604606,0.178878,0.233532,-86.5086,-6081.66,1689.71,-0.0969991,-0.27374,-0.779809,0.554578,-426.617,-6174.15,1726.7,-0.192045,-0.348506,-0.455875,0.796141,563.136,-5800.16,1708.1
1039,0,-0.104021,-0.402402,-0.274564,0.867103,-34.8269,-5352.3,1629.39,0.736322,-0.147106,0.540165,0.380016,-336,-5718.64,1701.53,-0.346634,-0.236658,-0.271511,0.866094,719.526,-5577.56,1649.81,-0.0654723,-0.399948,-0.267414,0.874211,784.552,-5454.37,1611.69,,,,,,,,-0.088186,-0.369898,-0.179225,0.907346,-111.436,-5468.24,1659.42,-0.244454,-0.487773,-0.52412,0.653926,-334.428,-5922.59,1718.07,0.739066,-0.605346,0.180055,0.234346,-86.5538,-6081.63,1689.88,-0.101556,-0.274672,-0.779887,0.553189,-426.385,-6173.86,1727,-0.193423,-0.346217,-0.455477,0.797033,563.204,-5800.17,1708.1
